pilot,policy_domain,pilot_type,accessibility,feasibility,legitimacy,equity,burden_reduction,durability,risk,evidence_quality,stakeholder_coverage,legal_complexity,implementation_complexity,participation_quality
Benefits Application Simplification,social_protection,service_redesign,8.9,8.1,8.0,8.8,9.0,7.8,3.2,0.78,0.74,4.8,5.5,0.72
Mobile Community Health Enrollment,public_health,outreach_service,8.4,7.2,8.6,9.1,8.0,7.4,4.4,0.72,0.77,5.5,6.4,0.78
Digital Licensing Renewal Redesign,licensing,digital_service,7.5,8.5,7.4,6.9,7.6,8.0,3.8,0.76,0.66,4.2,5.2,0.60
School Meals Access Outreach,education,outreach_service,8.7,7.8,8.5,8.9,8.4,7.6,3.5,0.75,0.72,4.5,5.8,0.70
Tenant Rights Navigation Service,housing,service_navigation,8.6,7.0,8.7,9.0,8.7,7.3,4.8,0.70,0.82,6.8,7.2,0.82
Disability Benefit Renewal Redesign,disability_support,service_redesign,8.8,6.9,8.4,9.2,9.1,7.2,5.0,0.69,0.80,7.2,7.5,0.80
Climate Resilience Grant Access Pilot,climate_adaptation,grant_access,8.1,6.8,8.2,8.7,8.3,7.1,4.9,0.71,0.76,6.5,7.4,0.77
Small Business Compliance Assistance,economic_development,compliance_support,7.9,8.2,7.8,7.5,8.1,7.9,3.7,0.77,0.68,5.2,5.6,0.63
Emergency Benefits Auto-Enrollment,social_protection,automatic_enrollment,8.5,7.1,8.1,8.9,9.2,7.5,5.1,0.73,0.75,7.0,7.6,0.70
Public Notices Plain-Language Redesign,administration,communication_design,8.3,8.6,8.2,8.1,8.5,8.2,2.9,0.80,0.70,3.8,4.6,0.66
