pilot,period,uptake_rate,citizen_friction,implementation_error,trust_score,equity_score,appeal_access,staff_workload,case_resolution_time
Benefits Application Simplification,1,0.31,6.0,0.18,6.9,7.4,0.48,6.5,18.0
Benefits Application Simplification,2,0.47,4.9,0.13,7.5,8.1,0.58,5.8,14.5
Benefits Application Simplification,3,0.63,3.9,0.09,8.1,8.7,0.68,5.1,11.0
Mobile Community Health Enrollment,1,0.25,6.2,0.22,7.0,7.8,0.45,6.8,21.0
Mobile Community Health Enrollment,2,0.41,5.0,0.16,7.8,8.4,0.56,6.0,16.5
Mobile Community Health Enrollment,3,0.58,4.0,0.11,8.5,9.0,0.67,5.4,12.8
Digital Licensing Renewal Redesign,1,0.38,5.4,0.16,6.6,6.5,0.40,5.8,10.5
Digital Licensing Renewal Redesign,2,0.54,4.3,0.11,7.2,7.0,0.48,5.2,8.2
Digital Licensing Renewal Redesign,3,0.70,3.5,0.08,7.7,7.4,0.55,4.7,6.1
School Meals Access Outreach,1,0.29,5.9,0.17,7.1,7.8,0.49,6.2,17.0
School Meals Access Outreach,2,0.46,4.7,0.12,7.8,8.5,0.60,5.6,13.3
School Meals Access Outreach,3,0.64,3.7,0.08,8.4,9.0,0.71,5.0,10.4
Tenant Rights Navigation Service,1,0.20,6.7,0.24,6.8,7.9,0.50,7.0,24.0
Tenant Rights Navigation Service,2,0.36,5.5,0.17,7.7,8.6,0.63,6.2,19.0
Tenant Rights Navigation Service,3,0.53,4.4,0.12,8.5,9.2,0.76,5.6,14.8
Disability Benefit Renewal Redesign,1,0.18,6.9,0.25,6.7,8.0,0.46,7.4,26.0
Disability Benefit Renewal Redesign,2,0.34,5.6,0.18,7.6,8.8,0.60,6.5,20.5
Disability Benefit Renewal Redesign,3,0.51,4.3,0.12,8.4,9.3,0.74,5.7,15.6
Climate Resilience Grant Access Pilot,1,0.17,6.5,0.23,6.9,7.7,0.43,7.1,23.0
Climate Resilience Grant Access Pilot,2,0.32,5.4,0.17,7.5,8.3,0.55,6.4,18.6
Climate Resilience Grant Access Pilot,3,0.49,4.5,0.12,8.1,8.8,0.66,5.8,14.9
Small Business Compliance Assistance,1,0.33,5.7,0.17,6.8,6.9,0.41,6.0,16.0
Small Business Compliance Assistance,2,0.49,4.6,0.12,7.4,7.4,0.50,5.3,12.4
Small Business Compliance Assistance,3,0.65,3.8,0.08,8.0,7.9,0.58,4.8,9.3
Emergency Benefits Auto-Enrollment,1,0.35,5.9,0.20,6.9,7.9,0.44,7.3,20.0
Emergency Benefits Auto-Enrollment,2,0.57,4.6,0.14,7.6,8.6,0.56,6.5,15.1
Emergency Benefits Auto-Enrollment,3,0.77,3.5,0.09,8.3,9.1,0.67,5.9,10.9
Public Notices Plain-Language Redesign,1,0.40,5.1,0.13,7.0,7.2,0.48,5.5,13.0
Public Notices Plain-Language Redesign,2,0.56,4.0,0.09,7.6,7.8,0.57,5.0,9.8
Public Notices Plain-Language Redesign,3,0.72,3.2,0.06,8.1,8.3,0.66,4.6,7.4
