intervention,intervention_type,access,equity,dignity,legitimacy,accountability,outcome_strength,sustainability,learning_capacity,feasibility,governance_strength,implementation_risk,burden_risk,participation_quality,community_defined_value,repair_capacity,stewardship_capacity
Assisted access pathway,service_access,8.8,8.6,8.4,7.8,7.6,8.0,7.2,7.6,7.2,7.0,5.8,4.8,7.4,8.2,7.2,7.0
Community-led research council,participatory_governance,7.6,9.0,8.8,9.2,8.8,7.4,6.8,8.2,6.2,7.4,6.8,5.6,9.2,9.4,7.6,7.2
Plain-language eligibility redesign,policy_service_redesign,8.4,8.0,8.6,7.6,7.4,7.8,8.0,7.4,8.0,7.2,4.8,4.2,6.8,7.8,7.0,7.6
Mobile outreach and navigation support,community_service_model,9.0,8.8,8.2,8.0,7.6,8.2,6.6,7.2,6.6,6.6,6.6,5.8,7.8,8.6,7.0,6.6
Burden audit and repair protocol,accountability_system,8.2,9.2,8.8,8.6,9.0,8.0,7.6,8.8,7.0,8.0,5.6,4.0,8.2,9.0,8.8,8.0
Public value dashboard,evidence_learning_system,6.8,7.2,6.8,7.4,8.2,7.0,7.4,9.0,7.6,8.2,5.4,5.2,6.4,7.0,7.4,7.8
Participatory budgeting prototype,participatory_resource_allocation,7.8,8.6,8.0,9.0,8.4,7.6,6.4,7.8,5.8,6.8,7.2,6.4,8.8,9.0,7.6,6.6
AI-assisted public comment synthesis,ai_research_governance,6.6,7.0,6.6,6.8,6.4,6.8,6.8,7.6,6.8,6.2,7.6,7.0,5.8,6.4,5.8,6.4
Community climate resilience hub,place_based_resilience,8.6,8.8,8.4,8.6,8.0,8.4,7.2,8.0,6.4,7.2,6.8,5.8,8.6,9.0,7.8,7.4
Mutual aid data cooperative,data_stewardship,7.8,8.4,8.2,8.8,8.6,7.4,7.0,8.6,5.8,7.0,7.4,6.2,9.0,9.2,8.0,7.0
