group,stakeholder_type,affectedness,presence,framing_influence,synthesis_influence,concept_influence,testing_influence,implementation_influence,governance_influence,access_support,trust_score,compensation_support,language_access,disability_access
Current Users,user_group,0.75,0.85,0.58,0.50,0.62,0.70,0.42,0.38,0.72,0.68,0.70,0.72,0.68
Non-Users,excluded_group,0.80,0.42,0.32,0.28,0.30,0.36,0.20,0.18,0.45,0.42,0.52,0.50,0.44
Frontline Workers,worker_group,0.78,0.76,0.64,0.56,0.60,0.68,0.50,0.46,0.70,0.64,0.72,0.70,0.66
Disabled Participants,accessibility_group,0.92,0.48,0.38,0.34,0.42,0.52,0.30,0.28,0.56,0.50,0.60,0.58,0.62
Low-Income Participants,equity_group,0.88,0.52,0.40,0.36,0.40,0.48,0.28,0.26,0.58,0.48,0.68,0.56,0.50
Community Advocates,community_partner,0.82,0.68,0.55,0.48,0.52,0.56,0.38,0.44,0.66,0.60,0.70,0.64,0.60
Technical Implementers,implementation_group,0.65,0.82,0.50,0.52,0.58,0.64,0.62,0.58,0.78,0.72,0.62,0.70,0.66
Institutional Decision-Makers,authority_group,0.70,0.90,0.72,0.68,0.66,0.60,0.80,0.78,0.82,0.78,0.58,0.70,0.68
Caregivers and Intermediaries,intermediary_group,0.84,0.58,0.46,0.42,0.48,0.54,0.32,0.30,0.62,0.54,0.64,0.60,0.56
Affected Publics,affected_public,0.90,0.46,0.34,0.30,0.36,0.42,0.24,0.22,0.52,0.46,0.56,0.54,0.48
