intervention,period,intervention_intensity,visible_performance,adaptation_pressure,system_burden,equity_gap,trust_score,queue_pressure,implementation_drift
Service Navigation Redesign,1,0.62,6.8,0.22,5.2,0.14,6.9,0.58,0.10
Service Navigation Redesign,2,0.74,7.4,0.28,4.7,0.11,7.4,0.51,0.13
Service Navigation Redesign,3,0.81,7.9,0.34,4.2,0.09,7.8,0.44,0.16
Eligibility Rule Simplification,1,0.52,6.4,0.26,5.6,0.16,6.8,0.62,0.11
Eligibility Rule Simplification,2,0.66,7.3,0.35,4.8,0.11,7.5,0.53,0.17
Eligibility Rule Simplification,3,0.77,8.2,0.44,4.0,0.07,8.2,0.42,0.22
Information Flow Dashboard,1,0.56,6.3,0.24,5.4,0.15,6.6,0.60,0.12
Information Flow Dashboard,2,0.70,7.1,0.33,4.8,0.12,7.1,0.52,0.18
Information Flow Dashboard,3,0.80,7.8,0.41,4.3,0.09,7.5,0.47,0.24
Cross-Agency Referral Protocol,1,0.48,6.1,0.30,5.8,0.17,6.5,0.65,0.14
Cross-Agency Referral Protocol,2,0.64,7.0,0.42,5.0,0.12,7.2,0.55,0.21
Cross-Agency Referral Protocol,3,0.76,8.0,0.52,4.2,0.08,7.9,0.43,0.29
Participatory Governance Review,1,0.42,5.9,0.34,5.9,0.18,6.7,0.66,0.15
Participatory Governance Review,2,0.58,7.0,0.47,5.0,0.10,7.7,0.54,0.24
Participatory Governance Review,3,0.72,8.2,0.58,4.1,0.05,8.5,0.41,0.32
Community Support Infrastructure,1,0.50,6.5,0.27,5.5,0.15,6.9,0.61,0.12
Community Support Infrastructure,2,0.67,7.5,0.38,4.5,0.09,7.8,0.50,0.19
Community Support Infrastructure,3,0.79,8.3,0.48,3.8,0.05,8.4,0.39,0.26
Burden-Aware Intake Redesign,1,0.60,6.7,0.23,5.1,0.14,6.8,0.59,0.10
Burden-Aware Intake Redesign,2,0.73,7.5,0.31,4.4,0.09,7.6,0.49,0.15
Burden-Aware Intake Redesign,3,0.84,8.2,0.39,3.7,0.06,8.2,0.38,0.20
Institutional Learning Loop,1,0.45,6.0,0.29,5.7,0.16,6.7,0.64,0.08
Institutional Learning Loop,2,0.62,7.2,0.37,4.7,0.10,7.5,0.52,0.13
Institutional Learning Loop,3,0.78,8.4,0.45,3.9,0.06,8.4,0.40,0.17
