concept,period,adoption_rate,friction_score,ecological_impact_reduction,equity_score,implementation_cost,maintenance_burden,trust_score,participation_quality
Building Retrofit Service Model,1,0.22,6.1,0.18,6.9,6.7,5.4,6.8,0.58
Building Retrofit Service Model,2,0.38,5.2,0.31,7.5,6.2,4.9,7.3,0.68
Building Retrofit Service Model,3,0.55,4.4,0.46,8.0,5.8,4.3,7.9,0.76
Reusable Packaging Loop,1,0.28,5.8,0.16,6.6,5.8,5.1,6.6,0.55
Reusable Packaging Loop,2,0.42,4.9,0.29,7.0,5.5,4.5,7.1,0.63
Reusable Packaging Loop,3,0.58,4.1,0.41,7.5,5.2,4.0,7.6,0.70
Neighborhood Mobility Hub,1,0.18,6.4,0.15,7.1,7.0,5.6,6.7,0.62
Neighborhood Mobility Hub,2,0.34,5.4,0.28,7.9,6.5,5.0,7.4,0.72
Neighborhood Mobility Hub,3,0.51,4.5,0.40,8.5,6.0,4.4,8.0,0.80
Repair and Refurbishment Platform,1,0.25,5.7,0.14,6.9,5.4,5.0,6.8,0.57
Repair and Refurbishment Platform,2,0.43,4.8,0.27,7.4,5.1,4.4,7.3,0.66
Repair and Refurbishment Platform,3,0.61,3.9,0.39,7.9,4.8,3.8,7.8,0.74
Community Solar Enrollment Service,1,0.20,6.2,0.20,7.2,6.8,5.2,6.9,0.60
Community Solar Enrollment Service,2,0.36,5.1,0.35,8.0,6.3,4.7,7.6,0.71
Community Solar Enrollment Service,3,0.53,4.2,0.50,8.7,5.9,4.1,8.2,0.79
Circular Procurement Toolkit,1,0.24,5.9,0.12,6.8,5.2,4.7,6.7,0.52
Circular Procurement Toolkit,2,0.40,5.0,0.25,7.2,4.9,4.2,7.2,0.61
Circular Procurement Toolkit,3,0.57,4.2,0.36,7.8,4.5,3.7,7.7,0.69
Urban Heat Resilience Network,1,0.16,6.5,0.19,7.5,7.2,5.7,6.8,0.66
Urban Heat Resilience Network,2,0.31,5.5,0.33,8.2,6.8,5.0,7.5,0.76
Urban Heat Resilience Network,3,0.49,4.6,0.47,8.8,6.3,4.4,8.2,0.84
Water Reuse Participation Model,1,0.19,6.3,0.17,7.0,6.5,5.5,6.5,0.56
Water Reuse Participation Model,2,0.33,5.3,0.30,7.6,6.0,4.8,7.1,0.65
Water Reuse Participation Model,3,0.50,4.4,0.43,8.1,5.6,4.2,7.7,0.74
Tenant-Centered Electrification Pathway,1,0.14,6.8,0.18,7.6,7.4,5.8,6.6,0.70
Tenant-Centered Electrification Pathway,2,0.30,5.7,0.34,8.4,6.9,5.1,7.5,0.80
Tenant-Centered Electrification Pathway,3,0.47,4.8,0.52,9.0,6.4,4.5,8.3,0.88
Food Waste Prevention Service,1,0.30,5.4,0.15,7.1,5.1,4.6,7.0,0.60
Food Waste Prevention Service,2,0.48,4.5,0.27,7.7,4.8,4.1,7.5,0.69
Food Waste Prevention Service,3,0.66,3.7,0.38,8.2,4.4,3.5,8.0,0.77
