concept,silo_friction,decision_latency,legacy_system_constraint,metric_misalignment,training_gap,ownership_ambiguity,frontline_workload,governance_gap
Service Workflow Redesign,6.4,6.0,5.5,6.2,5.8,5.4,6.8,5.6
Self-Service Support Portal,5.8,5.2,6.4,5.6,5.4,4.9,5.8,5.0
AI Triage Assistant,7.2,6.9,8.1,7.4,7.6,6.8,7.0,7.8
Onboarding Simplification,5.4,5.0,4.8,5.2,5.9,4.7,6.1,4.8
Cross-Functional Escalation Model,7.8,7.4,5.2,7.0,6.1,7.6,6.7,7.2
Employee Knowledge Base Redesign,6.2,5.8,6.8,5.9,6.6,5.5,6.0,5.4
Customer Recovery Playbook,5.8,5.6,5.0,6.2,5.7,5.8,6.4,5.2
Manager Decision-Support Dashboard,7.0,6.8,7.6,7.8,6.4,6.5,6.2,7.0
Accessibility-First Service Redesign,6.6,6.2,6.0,6.4,6.8,5.9,6.7,6.1
Innovation Governance Cadence,7.4,7.8,4.8,7.2,5.6,7.4,5.8,6.9
