concept,round,adoption_likelihood,user_friction,trust_score,operational_burden,equity_score,task_success_rate,cycle_time,employee_confidence
Service Workflow Redesign,1,0.35,6.1,6.9,6.4,7.2,0.62,18.0,6.8
Service Workflow Redesign,2,0.49,5.0,7.5,5.6,7.8,0.72,14.2,7.4
Service Workflow Redesign,3,0.63,4.0,8.1,4.9,8.3,0.81,10.8,8.1
Self-Service Support Portal,1,0.38,5.8,6.6,5.8,6.7,0.64,15.2,6.5
Self-Service Support Portal,2,0.54,4.7,7.2,5.0,7.1,0.74,11.8,7.0
Self-Service Support Portal,3,0.69,3.8,7.8,4.5,7.5,0.82,8.6,7.7
AI Triage Assistant,1,0.24,6.9,5.8,7.2,5.6,0.50,20.5,5.5
AI Triage Assistant,2,0.36,6.1,6.4,6.8,6.1,0.59,17.4,6.2
AI Triage Assistant,3,0.48,5.3,7.0,6.2,6.8,0.68,14.0,6.9
Onboarding Simplification,1,0.42,5.7,7.1,6.0,7.8,0.66,21.0,6.9
Onboarding Simplification,2,0.58,4.5,7.8,5.2,8.3,0.77,16.2,7.6
Onboarding Simplification,3,0.73,3.5,8.4,4.6,8.8,0.86,11.5,8.3
Cross-Functional Escalation Model,1,0.28,6.4,6.3,7.0,7.0,0.55,24.0,5.8
Cross-Functional Escalation Model,2,0.43,5.3,7.0,6.2,7.6,0.66,19.2,6.7
Cross-Functional Escalation Model,3,0.58,4.4,7.7,5.5,8.1,0.76,14.9,7.5
Employee Knowledge Base Redesign,1,0.37,5.9,6.8,6.3,7.4,0.61,19.5,6.6
Employee Knowledge Base Redesign,2,0.52,4.8,7.5,5.5,8.0,0.72,15.0,7.3
Employee Knowledge Base Redesign,3,0.67,3.9,8.1,4.8,8.5,0.82,10.6,8.0
Customer Recovery Playbook,1,0.40,5.5,7.0,5.9,7.5,0.65,16.8,6.8
Customer Recovery Playbook,2,0.56,4.5,7.7,5.1,8.0,0.76,12.7,7.5
Customer Recovery Playbook,3,0.71,3.7,8.3,4.5,8.4,0.85,9.2,8.2
Manager Decision-Support Dashboard,1,0.26,6.5,6.1,6.9,6.4,0.54,22.0,5.9
Manager Decision-Support Dashboard,2,0.39,5.6,6.8,6.3,6.9,0.64,18.5,6.6
Manager Decision-Support Dashboard,3,0.52,4.8,7.4,5.8,7.4,0.73,14.8,7.2
Accessibility-First Service Redesign,1,0.32,6.2,6.9,6.6,8.0,0.58,21.5,6.2
Accessibility-First Service Redesign,2,0.48,5.0,7.7,5.8,8.7,0.70,16.8,7.1
Accessibility-First Service Redesign,3,0.64,3.9,8.5,5.0,9.2,0.82,12.1,8.0
Innovation Governance Cadence,1,0.30,6.0,6.7,6.8,7.2,0.57,23.0,6.1
Innovation Governance Cadence,2,0.44,5.0,7.4,6.0,7.8,0.68,18.0,7.0
Innovation Governance Cadence,3,0.59,4.1,8.1,5.3,8.4,0.78,13.5,7.8
