intervention,stage,adoption_rate,staff_compliance,service_reliability,support_ticket_rate,equity_gap,mean_resolution_time_hours,user_trust,staff_burden,incident_count,sites_live,users_reached
Digital Intake Workflow,1,0.42,0.68,0.91,0.18,0.14,16.2,6.9,5.1,5,1,650
Digital Intake Workflow,2,0.58,0.74,0.94,0.14,0.11,13.5,7.4,4.6,3,2,1540
Digital Intake Workflow,3,0.71,0.81,0.96,0.10,0.08,10.8,7.9,4.0,2,4,4100
Frontline Service Playbook,1,0.48,0.72,0.93,0.15,0.12,14.4,7.2,4.9,4,2,520
Frontline Service Playbook,2,0.64,0.82,0.95,0.10,0.08,11.0,7.8,4.1,2,5,1300
Frontline Service Playbook,3,0.79,0.88,0.97,0.07,0.05,8.6,8.3,3.6,1,9,3700
Cross-Team Escalation Protocol,1,0.37,0.64,0.90,0.20,0.13,18.5,6.8,5.4,6,1,300
Cross-Team Escalation Protocol,2,0.55,0.73,0.93,0.15,0.10,14.9,7.4,4.7,4,3,960
Cross-Team Escalation Protocol,3,0.69,0.80,0.95,0.11,0.08,12.1,7.8,4.2,2,6,2600
Community Outreach Scheduling Tool,1,0.44,0.67,0.89,0.22,0.11,17.6,7.1,5.0,5,1,480
Community Outreach Scheduling Tool,2,0.60,0.75,0.93,0.16,0.08,13.2,7.7,4.4,3,3,1180
Community Outreach Scheduling Tool,3,0.73,0.82,0.95,0.12,0.06,10.4,8.2,3.8,2,7,3150
Status Visibility Service,1,0.40,0.66,0.88,0.24,0.15,20.1,6.7,5.5,7,1,800
Status Visibility Service,2,0.57,0.74,0.92,0.17,0.11,15.8,7.3,4.8,4,3,2200
Status Visibility Service,3,0.70,0.81,0.95,0.12,0.08,12.2,7.8,4.2,2,6,5600
Implementation Learning Dashboard,1,0.46,0.70,0.92,0.16,0.12,14.8,7.0,4.8,4,1,420
Implementation Learning Dashboard,2,0.63,0.80,0.95,0.10,0.08,11.2,7.7,4.0,2,4,1250
Implementation Learning Dashboard,3,0.76,0.87,0.97,0.07,0.06,8.5,8.2,3.5,1,8,3400
Training and Support System,1,0.49,0.73,0.94,0.14,0.10,13.6,7.3,4.7,3,2,600
Training and Support System,2,0.66,0.83,0.96,0.09,0.07,10.1,7.9,3.9,2,5,1600
Training and Support System,3,0.81,0.90,0.98,0.06,0.04,7.9,8.5,3.3,1,10,4300
Equity Monitoring Protocol,1,0.34,0.61,0.91,0.17,0.16,15.5,6.8,5.2,4,1,350
Equity Monitoring Protocol,2,0.52,0.72,0.94,0.12,0.10,12.4,7.5,4.5,3,4,1400
Equity Monitoring Protocol,3,0.68,0.81,0.96,0.08,0.06,9.6,8.1,3.9,1,8,3600
