unit_id,coder_a,coder_b,coder_c
1,status_uncertainty,status_uncertainty,status_uncertainty
2,documentation_confusion,documentation_confusion,access_barrier
3,translation_labor,translation_labor,translation_labor
4,manual_workaround,manual_workaround,handoff_breakdown
5,manual_workaround,manual_workaround,manual_workaround
6,policy_complexity,policy_complexity,documentation_confusion
7,trust_gap,trust_gap,access_barrier
8,access_barrier,access_barrier,access_barrier
9,access_barrier,status_uncertainty,access_barrier
10,documentation_confusion,documentation_confusion,policy_complexity
11,translation_labor,translation_labor,access_barrier
12,handoff_breakdown,handoff_breakdown,manual_workaround
13,policy_complexity,policy_complexity,handoff_breakdown
14,trust_gap,trust_gap,status_uncertainty
15,status_uncertainty,status_uncertainty,trust_gap
16,access_barrier,access_barrier,access_barrier
17,translation_labor,translation_labor,policy_complexity
18,handoff_breakdown,handoff_breakdown,manual_workaround
19,trust_gap,trust_gap,access_barrier
20,policy_complexity,policy_complexity,documentation_confusion
21,status_uncertainty,status_uncertainty,status_uncertainty
22,access_barrier,access_barrier,trust_gap
23,translation_labor,translation_labor,translation_labor
24,manual_workaround,manual_workaround,handoff_breakdown
25,handoff_breakdown,handoff_breakdown,policy_complexity
26,manual_workaround,manual_workaround,handoff_breakdown
27,translation_labor,translation_labor,access_barrier
28,status_uncertainty,handoff_breakdown,status_uncertainty
29,documentation_confusion,documentation_confusion,manual_workaround
30,access_barrier,translation_labor,access_barrier
